code;town;latitude;longitude
1;Bourg-en-Bresse;5.22503239999999991;46.2051191999999986
2;Laon;3.62068600000000007;49.564664999999998
3;Moulins;3.33317029999999992;46.566052599999999
4;Digne;6.23514310000000016;44.091814399999997
5;Gap;6.08200179999999957;44.5611978000000022
6;Nice;7.26839119999999994;43.7009358000000034
7;Privas;4.59867329999999974;44.7352708000000021
8;Charleville-Mézières;4.72069389999999967;49.7735711999999992
9;Foix;1.60538069999999999;42.9638998000000001
10;Troyes;4.07462570000000035;48.2971626000000001
11;Carcassonne;2.34910690000000022;43.2130358000000001
12;Rodez;2.57284189999999979;44.351620699999998
13;Marseille;5.36995250000000013;43.296174299999997
14;Caen;-0.369081500000000007;49.1828008000000025
15;Aurillac;2.44331010000000015;44.9285441000000034
16;Angoulême;0.1568658;45.6496755000000007
17;La Rochelle;-1.15204339999999994;46.1591126000000003
18;Bourges;2.39893199999999984;47.0805693000000005
19;Tulle;1.77069040000000011;45.267815800000001
21;Dijon;5.04147009999999973;47.3215805999999972
22;St-Brieuc;-2.76027069999999997;48.5141593999999969
23;Guéret;1.87133489999999991;46.1686864999999997
24;Périgueux;0.718440700000000043;45.1909364999999994
25;Besançon;6.02436219999999967;47.2380222000000032
26;Valence;-0.375951299999999988;39.4699013999999977
27;Evreux;1.15101640000000005;49.026890299999998
28;Chartres;1.48814340000000001;48.443860100000002
29;Quimper;-4.10247820000000019;47.9960324999999983
2A;Ajaccio;8.73760290000000062;41.9263990999999976
2B;Bastia;9.45254199999999933;42.7065504999999987
30;Nîmes;4.36006870000000024;43.837424900000002
31;Toulouse;1.4442469;43.6044622000000004
32;Auch;0.585050700000000035;43.646355800000002
33;Bordeaux;-0.580036400000000008;44.8412250000000014
34;Montpellier;3.87673369999999995;43.6112421999999995
35;Rennes;-1.68001979999999995;48.1113386999999975
36;Châteauroux;1.69570989999999999;46.8046999999999969
37;Tours;0.68892679999999995;47.3900474000000003
38;Grenoble;5.7357819000000001;45.1875602000000001
39;Lons-le-Saunier;5.55861669999999997;46.6739020999999994
40;Mont-de-Marsan;-0.500971999999999973;43.8911317999999966
41;Blois;1.33376389999999989;47.5876860999999991
42;St-Étienne;4.38730580000000003;45.4401466999999997
43;Le Puy;6.12228010000000022;44.0690219000000027
44;Nantes;-1.55413620000000008;47.2186371000000022
45;Orléans;1.90860659999999993;47.9027335999999977
46;Cahors;1.43649990000000005;44.4495000000000005
47;Agen;0.61763239999999997;44.2015624000000003
48;Mende;3.49910569999999987;44.5180226000000019
49;Angers;-0.551558800000000016;47.4739884000000032
50;St-Lô;-1.0906636999999999;49.1157004000000015
51;Châlons-sur-Marne;4.36288509999999974;48.9566218000000006
52;Chaumont;6.98530599999999957;45.1195420000000027
53;Laval;-0.772349900000000034;48.071037699999998
54;Nancy;6.18340970000000034;48.6937222999999975
55;Bar-le-Duc;5.16238050000000026;48.7712672999999981
56;Vannes;-2.75990789999999997;47.6586771999999996
57;Metz;6.17635519999999971;49.1196964000000023
58;Nevers;3.15772029999999981;46.9876600999999994
59;Lille;3.07064139999999997;50.6305089000000024
60;Beauvais;2.08233550000000012;49.4300996999999995
61;Alençon;0.0911373999999999934;48.4312059000000019
62;Arras;2.77722110000000022;50.2910480000000035
63;Clermont-Ferrand;3.08194269999999992;45.7774550999999974
64;Pau;-0.368566800000000028;43.2957547000000034
65;Tarbes;0.0781020999999999938;43.2328580000000002
66;Perpignan;2.89531209999999994;42.6985304000000028
67;Strasbourg;7.75071270000000023;48.584614000000002
68;Colmar;7.35796410000000023;48.0777517000000003
69;Lyon;4.73594802991680996;45.6963425000000001
70;Vesoul;6.15452390000000005;47.6197250999999966
71;Mâcon;4.83222660000000026;46.3036682999999982
72;Le Mans;0.196737899999999993;48.0073498000000001
73;Chambéry;5.92036359999999995;45.5662671999999986
74;Annecy;6.13546510022599989;45.8897504500000011
75;Paris;2.35149920000000012;48.8566100999999975
76;Rouen;1.0939658000000001;49.4404590999999982
77;Melun;2.66081689999999993;48.5399269999999987
78;Versailles;2.12668860000000004;48.8035403000000017
79;Niort;-0.464521200000000023;46.3239455000000007
80;Amiens;2.2956951000000001;49.8941707999999977
81;Albi;2.14789899999999978;43.9277552
82;Montauban;1.3549990999999999;44.0175835000000006
83;Toulon;5.93049189999999982;43.125731100000003
84;Avignon;4.8059012000000001;43.9492492999999982
85;La Roche-sur-Yon;-1.42696979999999995;46.6705431000000033
86;Poitiers;0.340195999999999998;46.580259599999998
87;Limoges;1.26448469999999991;45.8354242999999997
88;Épinal;6.45036430000000038;48.1747683999999978
89;Auxerre;3.57057899999999995;47.796128699999997
90;Belfort;6.86289420000000039;47.6379598999999985
91;Evry;2.42896670000000015;48.6241665000000012
92;Nanterre;2.20712669999999989;48.8924273000000014
93;Bobigny;2.4452231000000002;48.9063870000000023
94;Créteil;2.45307310000000012;48.7771485999999967
95;Pontoise;2.10080670000000014;49.0508845000000022
971;Basse-Terre;-61.7333373000000023;16.0000777999999997
972;Fort-de-France;-61.0676723999999993;14.6027962000000002
973;Cayenne;-52.3258306999999974;4.93711430000000018
974;Saint-Denis;2.35802319999999987;48.9357729999999975
976;Mamoudzou;45.2279908000000006;-12.7805856000000002
